match_id,stage,group,date,time,timezone,venue,stadium_name,city,country,team1,team2,notes
1,Group Stage,A,2026-06-11,3:00 PM,ET,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Mexico,South Africa,
2,Group Stage,A,2026-06-11,10:00 PM,ET,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,South Korea,Czechia,
3,Group Stage,B,2026-06-12,3:00 PM,ET,Toronto Stadium,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,
4,Group Stage,D,2026-06-12,9:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,United States,Paraguay,
5,Group Stage,B,2026-06-13,3:00 PM,ET,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Qatar,Switzerland,
6,Group Stage,C,2026-06-13,6:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Brazil,Morocco,
7,Group Stage,C,2026-06-13,9:00 PM,ET,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Haiti,Scotland,
8,Group Stage,D,2026-06-13,12:00 AM,ET,BC Place,BC Place,Vancouver,Canada,Australia,Türkiye,Listed under June 13 in source; 12:00 AM ET is the broadcast time.
9,Group Stage,E,2026-06-14,1:00 PM,ET,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Germany,Curaçao,
10,Group Stage,F,2026-06-14,4:00 PM,ET,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Netherlands,Japan,
11,Group Stage,E,2026-06-14,7:00 PM,ET,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Ivory Coast,Ecuador,
12,Group Stage,F,2026-06-14,10:00 PM,ET,Monterrey Stadium,Estadio BBVA,Guadalupe,Mexico,Tunisia,Sweden,
13,Group Stage,H,2026-06-15,12:00 PM,ET,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Spain,Cape Verde,
14,Group Stage,G,2026-06-15,3:00 PM,ET,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,Belgium,Egypt,
15,Group Stage,H,2026-06-15,6:00 PM,ET,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Saudi Arabia,Uruguay,
16,Group Stage,G,2026-06-15,9:00 PM,ET,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Iran,New Zealand,
17,Group Stage,I,2026-06-16,3:00 PM,ET,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,France,Senegal,
