match_id,source_match_id,source,stage,group,date,time,team1,team2,team1_goals,team2_goals,advance_team,status,played
1,760415,espn,Group Stage,A,2026-06-11,15:00:00,Mexico,South Africa,2,0,Mexico,STATUS_FULL_TIME,TRUE
2,760414,espn,Group Stage,A,2026-06-11,22:00:00,South Korea,Czechia,2,1,South Korea,STATUS_FULL_TIME,TRUE
3,760416,espn,Group Stage,B,2026-06-12,15:00:00,Canada,Bosnia and Herzegovina,1,1,NA,STATUS_FULL_TIME,TRUE
4,760417,espn,Group Stage,D,2026-06-12,21:00:00,United States,Paraguay,4,1,United States,STATUS_FULL_TIME,TRUE
5,760420,espn,Group Stage,B,2026-06-13,15:00:00,Qatar,Switzerland,1,1,NA,STATUS_FULL_TIME,TRUE
6,760419,espn,Group Stage,C,2026-06-13,18:00:00,Brazil,Morocco,1,1,NA,STATUS_FULL_TIME,TRUE
7,760418,espn,Group Stage,C,2026-06-13,21:00:00,Haiti,Scotland,0,1,Scotland,STATUS_FULL_TIME,TRUE
8,760421,espn,Group Stage,D,2026-06-13,00:00:00,Australia,Türkiye,2,0,Australia,STATUS_FULL_TIME,TRUE
9,760422,espn,Group Stage,E,2026-06-14,13:00:00,Germany,Curaçao,7,1,Germany,STATUS_FULL_TIME,TRUE
10,760425,espn,Group Stage,F,2026-06-14,16:00:00,Netherlands,Japan,2,2,NA,STATUS_FULL_TIME,TRUE
11,760423,espn,Group Stage,E,2026-06-14,19:00:00,Ivory Coast,Ecuador,1,0,Ivory Coast,STATUS_FULL_TIME,TRUE
12,760424,espn,Group Stage,F,2026-06-14,22:00:00,Tunisia,Sweden,1,5,Sweden,STATUS_FULL_TIME,TRUE
13,760428,espn,Group Stage,H,2026-06-15,12:00:00,Spain,Cape Verde,0,0,NA,STATUS_FULL_TIME,TRUE
14,760426,espn,Group Stage,G,2026-06-15,15:00:00,Belgium,Egypt,1,1,NA,STATUS_FULL_TIME,TRUE
15,760429,espn,Group Stage,H,2026-06-15,18:00:00,Saudi Arabia,Uruguay,1,1,NA,STATUS_FULL_TIME,TRUE
16,760427,espn,Group Stage,G,2026-06-15,21:00:00,Iran,New Zealand,2,2,NA,STATUS_FULL_TIME,TRUE
17,760432,espn,Group Stage,I,2026-06-16,15:00:00,France,Senegal,3,1,France,STATUS_FULL_TIME,TRUE
18,760430,espn,Group Stage,I,2026-06-16,18:00:00,Iraq,Norway,1,4,Norway,STATUS_FULL_TIME,TRUE
19,760433,espn,Group Stage,J,2026-06-16,21:00:00,Argentina,Algeria,3,0,Argentina,STATUS_FULL_TIME,TRUE
20,760431,espn,Group Stage,J,2026-06-16,00:00:00,Austria,Jordan,3,1,Austria,STATUS_FULL_TIME,TRUE
21,760435,espn,Group Stage,K,2026-06-17,13:00:00,Portugal,Congo DR,1,1,NA,STATUS_FULL_TIME,TRUE
22,760437,espn,Group Stage,L,2026-06-17,16:00:00,England,Croatia,4,2,England,STATUS_FULL_TIME,TRUE
23,760434,espn,Group Stage,L,2026-06-17,19:00:00,Ghana,Panama,1,0,Ghana,STATUS_FULL_TIME,TRUE
24,760436,espn,Group Stage,K,2026-06-17,22:00:00,Uzbekistan,Colombia,1,3,Colombia,STATUS_FULL_TIME,TRUE
25,760438,espn,Group Stage,A,2026-06-18,12:00:00,Czechia,South Africa,1,1,NA,STATUS_FULL_TIME,TRUE
26,760439,espn,Group Stage,B,2026-06-18,15:00:00,Switzerland,Bosnia and Herzegovina,4,1,Switzerland,STATUS_FULL_TIME,TRUE
27,760440,espn,Group Stage,B,2026-06-18,18:00:00,Canada,Qatar,6,0,Canada,STATUS_FULL_TIME,TRUE
28,760441,espn,Group Stage,A,2026-06-18,21:00:00,Mexico,South Korea,1,0,Mexico,STATUS_FULL_TIME,TRUE
29,760442,espn,Group Stage,D,2026-06-19,15:00:00,United States,Australia,2,0,United States,STATUS_FULL_TIME,TRUE
30,760445,espn,Group Stage,C,2026-06-19,15:00:00,Scotland,Morocco,0,1,Morocco,STATUS_FULL_TIME,TRUE
31,760444,espn,Group Stage,C,2026-06-19,21:00:00,Brazil,Haiti,3,0,Brazil,STATUS_FULL_TIME,TRUE
32,760443,espn,Group Stage,D,2026-06-19,00:00:00,Türkiye,Paraguay,0,1,Paraguay,STATUS_FULL_TIME,TRUE
33,760447,espn,Group Stage,F,2026-06-20,13:00:00,Netherlands,Sweden,5,1,Netherlands,STATUS_FULL_TIME,TRUE
34,760448,espn,Group Stage,E,2026-06-20,16:00:00,Germany,Ivory Coast,2,1,Germany,STATUS_FULL_TIME,TRUE
35,760446,espn,Group Stage,E,2026-06-20,20:00:00,Ecuador,Curaçao,0,0,NA,STATUS_FULL_TIME,TRUE
36,760449,espn,Group Stage,F,2026-06-20,00:00:00,Tunisia,Japan,0,4,Japan,STATUS_FULL_TIME,TRUE
37,760453,espn,Group Stage,H,2026-06-21,12:00:00,Spain,Saudi Arabia,4,0,Spain,STATUS_FULL_TIME,TRUE
38,760451,espn,Group Stage,G,2026-06-21,15:00:00,Belgium,Iran,0,0,NA,STATUS_FULL_TIME,TRUE
39,760450,espn,Group Stage,H,2026-06-21,18:00:00,Uruguay,Cape Verde,2,2,NA,STATUS_FULL_TIME,TRUE
40,760452,espn,Group Stage,G,2026-06-21,21:00:00,New Zealand,Egypt,1,3,Egypt,STATUS_FULL_TIME,TRUE
41,760456,espn,Group Stage,J,2026-06-22,13:00:00,Argentina,Austria,2,0,Argentina,STATUS_FULL_TIME,TRUE
42,760457,espn,Group Stage,I,2026-06-22,17:00:00,France,Iraq,3,0,France,STATUS_FULL_TIME,TRUE
43,760454,espn,Group Stage,I,2026-06-22,20:00:00,Norway,Senegal,3,2,Norway,STATUS_FULL_TIME,TRUE
44,760455,espn,Group Stage,J,2026-06-22,23:00:00,Jordan,Algeria,1,2,Algeria,STATUS_FULL_TIME,TRUE
45,760461,espn,Group Stage,K,2026-06-23,13:00:00,Portugal,Uzbekistan,5,0,Portugal,STATUS_FULL_TIME,TRUE
46,760458,espn,Group Stage,L,2026-06-23,16:00:00,England,Ghana,0,0,NA,STATUS_FULL_TIME,TRUE
47,760460,espn,Group Stage,L,2026-06-23,19:00:00,Panama,Croatia,0,1,Croatia,STATUS_FULL_TIME,TRUE
48,760459,espn,Group Stage,K,2026-06-23,22:00:00,Colombia,Congo DR,1,0,Colombia,STATUS_FULL_TIME,TRUE
49,760463,espn,Group Stage,B,2026-06-24,15:00:00,Switzerland,Canada,2,1,Switzerland,STATUS_FULL_TIME,TRUE
50,760462,espn,Group Stage,B,2026-06-24,15:00:00,Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina,STATUS_FULL_TIME,TRUE
51,760465,espn,Group Stage,C,2026-06-24,18:00:00,Brazil,Scotland,3,0,Brazil,STATUS_FULL_TIME,TRUE
52,760464,espn,Group Stage,C,2026-06-24,18:00:00,Morocco,Haiti,4,2,Morocco,STATUS_FULL_TIME,TRUE
53,760467,espn,Group Stage,A,2026-06-24,21:00:00,Mexico,Czechia,3,0,Mexico,STATUS_FULL_TIME,TRUE
54,760466,espn,Group Stage,A,2026-06-24,21:00:00,South Korea,South Africa,0,1,South Africa,STATUS_FULL_TIME,TRUE
55,760468,espn,Group Stage,E,2026-06-25,16:00:00,Ecuador,Germany,2,1,Ecuador,STATUS_FULL_TIME,TRUE
56,760473,espn,Group Stage,E,2026-06-25,16:00:00,Curaçao,Ivory Coast,0,2,Ivory Coast,STATUS_FULL_TIME,TRUE
57,760472,espn,Group Stage,F,2026-06-25,19:00:00,Tunisia,Netherlands,1,3,Netherlands,STATUS_FULL_TIME,TRUE
58,760471,espn,Group Stage,F,2026-06-25,19:00:00,Japan,Sweden,1,1,NA,STATUS_FULL_TIME,TRUE
59,760470,espn,Group Stage,D,2026-06-25,22:00:00,United States,Türkiye,2,3,Türkiye,STATUS_FULL_TIME,TRUE
60,760469,espn,Group Stage,D,2026-06-25,22:00:00,Paraguay,Australia,0,0,NA,STATUS_FULL_TIME,TRUE
61,760475,espn,Group Stage,I,2026-06-26,15:00:00,Norway,France,1,4,France,STATUS_FULL_TIME,TRUE
62,760474,espn,Group Stage,I,2026-06-26,15:00:00,Senegal,Iraq,5,0,Senegal,STATUS_FULL_TIME,TRUE
63,760479,espn,Group Stage,H,2026-06-26,20:00:00,Uruguay,Spain,0,1,Spain,STATUS_FULL_TIME,TRUE
64,760478,espn,Group Stage,H,2026-06-26,20:00:00,Cape Verde,Saudi Arabia,0,0,NA,STATUS_FULL_TIME,TRUE
65,760477,espn,Group Stage,G,2026-06-26,23:00:00,New Zealand,Belgium,1,5,Belgium,STATUS_FULL_TIME,TRUE
66,760476,espn,Group Stage,G,2026-06-26,23:00:00,Egypt,Iran,1,1,NA,STATUS_FULL_TIME,TRUE
67,760485,espn,Group Stage,L,2026-06-27,17:00:00,Panama,England,NA,NA,NA,STATUS_SECOND_HALF,FALSE
68,760480,espn,Group Stage,L,2026-06-27,17:00:00,Croatia,Ghana,NA,NA,NA,STATUS_SECOND_HALF,FALSE
69,760481,espn,Group Stage,K,2026-06-27,19:30:00,Colombia,Portugal,NA,NA,NA,STATUS_SCHEDULED,FALSE
70,760482,espn,Group Stage,K,2026-06-27,19:30:00,Congo DR,Uzbekistan,NA,NA,NA,STATUS_SCHEDULED,FALSE
71,760483,espn,Group Stage,J,2026-06-27,22:00:00,Argentina,Jordan,NA,NA,NA,STATUS_SCHEDULED,FALSE
72,760484,espn,Group Stage,J,2026-06-27,22:00:00,Algeria,Austria,NA,NA,NA,STATUS_SCHEDULED,FALSE
73,NA,espn,Round of 32,NA,2026-06-28,15:00:00,Group A runner-up,Group B runner-up,NA,NA,NA,SCHEDULED,FALSE
74,NA,espn,Round of 32,NA,2026-06-29,13:00:00,Group C winner,Group F runner-up,NA,NA,NA,SCHEDULED,FALSE
75,NA,espn,Round of 32,NA,2026-06-29,16:30:00,Group E winner,Group A/B/C/D/F third place,NA,NA,NA,SCHEDULED,FALSE
76,NA,espn,Round of 32,NA,2026-06-29,21:00:00,Group F winner,Group C runner-up,NA,NA,NA,SCHEDULED,FALSE
77,NA,espn,Round of 32,NA,2026-06-30,13:00:00,Group E runner-up,Group I runner-up,NA,NA,NA,SCHEDULED,FALSE
78,NA,espn,Round of 32,NA,2026-06-30,17:00:00,Group I winner,Group C/D/F/G/H third place,NA,NA,NA,SCHEDULED,FALSE
79,NA,espn,Round of 32,NA,2026-06-30,21:00:00,Group A winner,Group C/E/F/H/I third place,NA,NA,NA,SCHEDULED,FALSE
80,NA,espn,Round of 32,NA,2026-07-01,12:00:00,Group L winner,Group E/H/I/J/K third place,NA,NA,NA,SCHEDULED,FALSE
81,NA,espn,Round of 32,NA,2026-07-01,16:00:00,Group G winner,Group A/E/H/I/J third place,NA,NA,NA,SCHEDULED,FALSE
82,NA,espn,Round of 32,NA,2026-07-01,20:00:00,Group D winner,Group B/E/F/I/J third place,NA,NA,NA,SCHEDULED,FALSE
83,NA,espn,Round of 32,NA,2026-07-02,15:00:00,Group H winner,Group J runner-up,NA,NA,NA,SCHEDULED,FALSE
84,NA,espn,Round of 32,NA,2026-07-02,19:00:00,Group K runner-up,Group L runner-up,NA,NA,NA,SCHEDULED,FALSE
85,NA,espn,Round of 32,NA,2026-07-02,23:00:00,Group B winner,Group D/E/I/J/L third place,NA,NA,NA,SCHEDULED,FALSE
86,NA,espn,Round of 32,NA,2026-07-03,14:00:00,Group D runner-up,Group G runner-up,NA,NA,NA,SCHEDULED,FALSE
87,NA,espn,Round of 32,NA,2026-07-03,18:00:00,Group J winner,Group H runner-up,NA,NA,NA,SCHEDULED,FALSE
88,NA,espn,Round of 32,NA,2026-07-03,21:30:00,Group K winner,Group D/E/I/J/L third place,NA,NA,NA,SCHEDULED,FALSE
89,NA,espn,Round of 16,NA,2026-07-04,13:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
90,NA,espn,Round of 16,NA,2026-07-04,17:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
91,NA,espn,Round of 16,NA,2026-07-05,16:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
92,NA,espn,Round of 16,NA,2026-07-05,20:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
93,NA,espn,Round of 16,NA,2026-07-06,15:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
94,NA,espn,Round of 16,NA,2026-07-06,20:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
95,NA,espn,Round of 16,NA,2026-07-07,12:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
96,NA,espn,Round of 16,NA,2026-07-07,16:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
97,NA,espn,Quarterfinal,NA,2026-07-09,16:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
98,NA,espn,Quarterfinal,NA,2026-07-10,15:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
99,NA,espn,Quarterfinal,NA,2026-07-11,17:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
100,NA,espn,Quarterfinal,NA,2026-07-11,21:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
101,NA,espn,Semifinal,NA,2026-07-14,15:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
102,NA,espn,Semifinal,NA,2026-07-15,15:00:00,TBD,TBD,NA,NA,NA,SCHEDULED,FALSE
