match_id,source_match_id,source,stage,group,date,time,venue,stadium_name,city,country,team1,team2,team1_goals,team2_goals,advance_team,status,played
1,NA,fake,Group Stage,A,2026-06-11,15:00:00,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Mexico,South Africa,2,0,NA,FAKE_FINISHED,TRUE
2,NA,fake,Group Stage,A,2026-06-11,22:00:00,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,South Korea,Czechia,1,0,NA,FAKE_FINISHED,TRUE
3,NA,fake,Group Stage,B,2026-06-12,15:00:00,Toronto Stadium,BMO Field,Toronto,Canada,Canada,Bosnia and Herzegovina,0,2,NA,FAKE_FINISHED,TRUE
4,NA,fake,Group Stage,D,2026-06-12,21:00:00,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,United States,Paraguay,1,1,NA,FAKE_FINISHED,TRUE
5,NA,fake,Group Stage,B,2026-06-13,15:00:00,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Qatar,Switzerland,1,1,NA,FAKE_FINISHED,TRUE
6,NA,fake,Group Stage,C,2026-06-13,18:00:00,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,Brazil,Morocco,0,1,NA,FAKE_FINISHED,TRUE
7,NA,fake,Group Stage,C,2026-06-13,21:00:00,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Haiti,Scotland,1,1,NA,FAKE_FINISHED,TRUE
8,NA,fake,Group Stage,D,2026-06-13,00:00:00,BC Place,BC Place,Vancouver,Canada,Australia,Türkiye,3,3,NA,FAKE_FINISHED,TRUE
9,NA,fake,Group Stage,E,2026-06-14,13:00:00,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Germany,Curaçao,0,0,NA,FAKE_FINISHED,TRUE
10,NA,fake,Group Stage,F,2026-06-14,16:00:00,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,Netherlands,Japan,1,1,NA,FAKE_FINISHED,TRUE
11,NA,fake,Group Stage,E,2026-06-14,19:00:00,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Ivory Coast,Ecuador,0,0,NA,FAKE_FINISHED,TRUE
12,NA,fake,Group Stage,F,2026-06-14,22:00:00,Monterrey Stadium,Estadio BBVA,Guadalupe,Mexico,Tunisia,Sweden,2,0,NA,FAKE_FINISHED,TRUE
13,NA,fake,Group Stage,H,2026-06-15,12:00:00,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Spain,Cape Verde,0,1,NA,FAKE_FINISHED,TRUE
14,NA,fake,Group Stage,G,2026-06-15,15:00:00,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,Belgium,Egypt,3,0,NA,FAKE_FINISHED,TRUE
15,NA,fake,Group Stage,H,2026-06-15,18:00:00,Miami Stadium,Hard Rock Stadium,"Miami Gardens, Florida",United States,Saudi Arabia,Uruguay,0,0,NA,FAKE_FINISHED,TRUE
16,NA,fake,Group Stage,G,2026-06-15,21:00:00,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Iran,New Zealand,1,2,NA,FAKE_FINISHED,TRUE
17,NA,fake,Group Stage,I,2026-06-16,15:00:00,New York New Jersey Stadium,MetLife Stadium,"East Rutherford, New Jersey",United States,France,Senegal,1,1,NA,FAKE_FINISHED,TRUE
18,NA,fake,Group Stage,I,2026-06-16,18:00:00,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Iraq,Norway,0,0,NA,FAKE_FINISHED,TRUE
19,NA,fake,Group Stage,J,2026-06-16,21:00:00,Kansas City Stadium,Arrowhead Stadium,"Kansas City, Missouri",United States,Argentina,Algeria,1,1,NA,FAKE_FINISHED,TRUE
20,NA,fake,Group Stage,J,2026-06-16,00:00:00,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Austria,Jordan,0,2,NA,FAKE_FINISHED,TRUE
21,NA,fake,Group Stage,K,2026-06-17,13:00:00,Houston Stadium,NRG Stadium,"Houston, Texas",United States,Portugal,Congo DR,1,1,NA,FAKE_FINISHED,TRUE
22,NA,fake,Group Stage,L,2026-06-17,16:00:00,Dallas Stadium,AT&T Stadium,"Arlington, Texas",United States,England,Croatia,1,0,NA,FAKE_FINISHED,TRUE
23,NA,fake,Group Stage,L,2026-06-17,19:00:00,Toronto Stadium,BMO Field,Toronto,Canada,Ghana,Panama,0,1,NA,FAKE_FINISHED,TRUE
24,NA,fake,Group Stage,K,2026-06-17,22:00:00,Mexico City Stadium,Estadio Banorte,Mexico City,Mexico,Uzbekistan,Colombia,0,1,NA,FAKE_FINISHED,TRUE
25,NA,fake,Group Stage,A,2026-06-18,12:00:00,Atlanta Stadium,Mercedes-Benz Stadium,"Atlanta, Georgia",United States,Czechia,South Africa,1,0,NA,FAKE_FINISHED,TRUE
26,NA,fake,Group Stage,B,2026-06-18,15:00:00,Los Angeles Stadium,SoFi Stadium,"Inglewood, California",United States,Switzerland,Bosnia and Herzegovina,0,1,NA,FAKE_FINISHED,TRUE
27,NA,fake,Group Stage,B,2026-06-18,18:00:00,BC Place,BC Place,Vancouver,Canada,Canada,Qatar,1,1,NA,FAKE_FINISHED,TRUE
28,NA,fake,Group Stage,A,2026-06-18,21:00:00,Guadalajara Stadium,Estadio Akron,Zapopan,Mexico,Mexico,South Korea,0,2,NA,FAKE_FINISHED,TRUE
29,NA,fake,Group Stage,D,2026-06-19,15:00:00,Seattle Stadium,Lumen Field,"Seattle, Washington",United States,United States,Australia,0,0,NA,FAKE_FINISHED,TRUE
30,NA,fake,Group Stage,C,2026-06-19,15:00:00,Boston Stadium,Gillette Stadium,"Foxborough, Massachusetts",United States,Scotland,Morocco,1,0,NA,FAKE_FINISHED,TRUE
31,NA,fake,Group Stage,C,2026-06-19,21:00:00,Philadelphia Stadium,Lincoln Financial Field,"Philadelphia, Pennsylvania",United States,Brazil,Haiti,3,3,NA,FAKE_FINISHED,TRUE
32,NA,fake,Group Stage,D,2026-06-19,00:00:00,San Francisco Bay Stadium,Levi's Stadium,"Santa Clara, California",United States,Türkiye,Paraguay,0,0,NA,FAKE_FINISHED,TRUE
