group,position,team
A,1,Mexico
A,2,South Korea
A,3,Czechia
A,4,South Africa
B,1,Bosnia and Herzegovina
B,2,Canada
B,3,Qatar
B,4,Switzerland
C,1,Scotland
C,2,Brazil
C,3,Morocco
C,4,Haiti
D,1,United States
D,2,Australia
D,3,Türkiye
D,4,Paraguay
E,1,Germany
E,2,Ivory Coast
E,3,Ecuador
E,4,Curaçao
F,1,Sweden
F,2,Japan
F,3,Netherlands
F,4,Tunisia
G,1,Iran
G,2,New Zealand
G,3,Belgium
G,4,Egypt
H,1,Saudi Arabia
H,2,Uruguay
H,3,Cape Verde
H,4,Spain
I,1,Norway
I,2,France
I,3,Senegal
I,4,Iraq
J,1,Argentina
J,2,Austria
J,3,Jordan
J,4,Algeria
