participant,group,position,team
Gustavo,A,1,Czechia
Gustavo,A,2,Mexico
Gustavo,A,3,South Korea
Gustavo,A,4,South Africa
Gustavo,B,1,Switzerland
Gustavo,B,2,Canada
Gustavo,B,3,Bosnia and Herzegovina
Gustavo,B,4,Qatar
Gustavo,C,1,Brazil
Gustavo,C,2,Morocco
Gustavo,C,3,Scotland
Gustavo,C,4,Haiti
Gustavo,D,1,Türkiye
Gustavo,D,2,United States
Gustavo,D,3,Paraguay
Gustavo,D,4,Australia
Gustavo,E,1,Germany
Gustavo,E,2,Ivory Coast
Gustavo,E,3,Ecuador
Gustavo,E,4,Curaçao
Gustavo,F,1,Netherlands
Gustavo,F,2,Sweden
Gustavo,F,3,Japan
Gustavo,F,4,Tunisia
Gustavo,G,1,Belgium
Gustavo,G,2,Egypt
Gustavo,G,3,Iran
Gustavo,G,4,New Zealand
Gustavo,H,1,Spain
Gustavo,H,2,Uruguay
Gustavo,H,3,Saudi Arabia
Gustavo,H,4,Cape Verde
Gustavo,I,1,France
Gustavo,I,2,Norway
Gustavo,I,3,Senegal
Gustavo,I,4,Iraq
Gustavo,J,1,Argentina
Gustavo,J,2,Austria
Gustavo,J,3,Algeria
Gustavo,J,4,Jordan
Gustavo,K,1,Portugal
Gustavo,K,2,Colombia
Gustavo,K,3,Uzbekistan
Gustavo,K,4,Congo DR
Gustavo,L,1,England
Gustavo,L,2,Croatia
Gustavo,L,3,Ghana
Gustavo,L,4,Panama
Pedro,A,1,South Korea
Pedro,A,2,Mexico
Pedro,A,3,Czechia
Pedro,A,4,South Africa
Pedro,B,1,Switzerland
Pedro,B,2,Canada
Pedro,B,3,Bosnia and Herzegovina
Pedro,B,4,Qatar
Pedro,C,1,Brazil
Pedro,C,2,Morocco
Pedro,C,3,Scotland
Pedro,C,4,Haiti
Pedro,D,1,Paraguay
Pedro,D,2,Türkiye
Pedro,D,3,United States
Pedro,D,4,Australia
Pedro,E,1,Germany
Pedro,E,2,Ecuador
Pedro,E,3,Ivory Coast
Pedro,E,4,Curaçao
Pedro,F,1,Netherlands
Pedro,F,2,Japan
Pedro,F,3,Tunisia
Pedro,F,4,Sweden
Pedro,G,1,Belgium
Pedro,G,2,Egypt
Pedro,G,3,Iran
Pedro,G,4,New Zealand
Pedro,H,1,Spain
Pedro,H,2,Uruguay
Pedro,H,3,Saudi Arabia
Pedro,H,4,Cape Verde
Pedro,I,1,France
Pedro,I,2,Norway
Pedro,I,3,Senegal
Pedro,I,4,Iraq
Pedro,J,1,Argentina
Pedro,J,2,Austria
Pedro,J,3,Algeria
Pedro,J,4,Jordan
Pedro,K,1,Portugal
Pedro,K,2,Colombia
Pedro,K,3,Congo DR
Pedro,K,4,Uzbekistan
Pedro,L,1,England
Pedro,L,2,Croatia
Pedro,L,3,Ghana
Pedro,L,4,Panama
